siteLabel,coordinate,siteID
Archaeological Sites of Mycenae and Tiryns,Point(22.75 37.73333333),16945635
Archaeological Sites of the Island of Meroe,Point(33.71666667 16.93333333),3962345
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Point(26.69139 53.22278),15278712
Area de Conservación Guanacaste World Heritage Site,Point(-85.61666667 10.85),775154
"Arles, Roman and Romanesque Monuments",Point(4.630694444 43.677638888),1279597
Armenian Monastic Ensembles of Iran,Point(45.473333333 38.978888888),841896
Arras Flying Services Memorial,Point(2.760418 50.286989),2674251
Arras Memorial,Point(2.760652 50.286982),2782982
Arslantepe,Point(38.36111111 38.38194444),705132
As-Salt Small Mosque,Point(35.728361111 32.039138888),107863824
Asante Traditional Buildings,Point(-1.62583 6.40111),1141003
Asmara: A Modernist African City,Point(38.935833 15.335278),124393371
Assevent French-German War Cemetery,Point(4.018529 50.291804),2292418
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Point(12.62244444 43.06616667),16913154
"Assumption Cathedral, Sviyazhsk",Point(48.652451 55.770124),4411008
Assur,Point(43.2625 35.456666666),200200
Astronomical Observatories of Kazan Federal University,Point(49.119097222 55.790908333),122730525
Astronomical Observatory of the University of Kazan,Point(49.11916667 55.79083333),4071782
At-Turaif District,Point(46.575556 24.733333),22687629
Atapuerca,Point(-3.519466 42.350092),923894
Atlantic Forest South-East Reserves,Point(-48.0 -24.166666666),2521895
Augustusburg and Falkenlust Palaces,Point(6.908055555 50.8275),156292
Auschwitz,Point(19.178333333 50.035833333),7341
Australian Convict Sites,Point(150.9944444 -33.37833333),391496
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Point(138.7166667 -19.08333333),15933552
Axum,Point(38.7315 14.1218),5832
Aya kapi,Point(28.956346641 41.027844323),121423111
Ayutthaya Historical Park,Point(100.5575086 14.351626),1025100
Aïr and Ténéré National Nature Reserve,Point(9.7 19.4),794643
Aït Benhaddou,Point(-7.133333333 31.05),309436
Baalbek,Point(36.208611111 34.006111111),178835
Babelsberg Palace,Point(13.0933 52.4076),702477
Babelsberg Park,Point(13.092721 52.405386),315105
Babylon,Point(44.431644444 32.541780555),100329356
Badain Jaran Desert,Point(102.21 40.0725),939033
Baekje Historic Areas,Point(127.1272222 36.46194444),12597917
Baekje Historic Areas,Point(127.127222222 36.461944444),20650483
Bagan,Point(94.86 21.1725),29317
Bagrati Cathedral,Point(42.7043 42.2773),37222
Bagrati Cathedral and Gelati Monastery,Point(42.71639 42.26222),16147548
Bahla Fort,Point(57.3007 22.9644),1408909
Bahrain Pearling Trail,Point(50.61 26.25),1889313
Bahá'í World Centre buildings,Point(34.98655 32.81378),2149036
Bale Mountains National Park,Point(39.6667 6.66667),804881
Bam,Point(58.356944444 29.106111111),106636
Bam Citadel,Point(58.368475 29.116855555),43277
Ban Chiang,Point(103.358333333 17.548611111),584125
Banc d'Arguin National Park,Point(-16.108889 20.234722),539518
Bandiagara Escarpment,Point(-3.316666666 14.416666666),650546
Bardejov Town Conservation Reserve,Point(21.27917 49.29333),17634781
Baroque Churches of the Philippines,Point(122.23549 10.64191),808563
Baroque Churches of the Philippines,Point(120.97535 14.58886),808563
Baroque Churches of the Philippines,Point(120.48305 17.36642),808563
Baroque Churches of the Philippines,Point(120.52159 18.06148),808563
Bassari Country,Point(-12.845833333 12.593333333),2916296
"Bat, Al-Khutm and Al-Ayn archaeological sites",Point(56.745 23.27),25496
Batalha Monastery,Point(-8.826111111 39.659166666),174779
Bath,Point(-2.358611 51.381389),22889
"Bauhaus and its Sites in Weimar, Dessau and Bernau",Point(11.32949 50.97477),14863645
Bayonet Trench,Point(5.42528 49.2139),3247141
Beaumont-Hamel Newfoundland Memorial,Point(2.648229 50.073838),813418
Beaumont-Hamel Newfoundland Memorial Park,Point(2.64837 50.07391),63077309
Beckhampton Avenue,Point(-1.87 51.425),4878717
Bedford House Cemetery,Point(2.891416666 50.829),2904568
Beemster,Point(4.9278 52.55),9900
Behistun,Point(47.434361111 34.388222222),6547997
Beidha,Point(35.447756 30.37078),2677032
Beit Guvrin National Park,Point(34.89833333 31.61305556),2407530
Beit She'arim National Park,Point(35.128055555 32.704166666),830805
Belen Square,Point(-71.981122 -13.526655),84095511
Belfries of Belgium and France,Point(3.514842 50.635266),750675
Belize Barrier Reef,Point(-88.052777777 17.2625),28361
Belle-Motte French National Cemetery,Point(4.60306 50.40347),2002032
Bellefontaine Franco-German military cemetery,Point(5.514805555 49.664083333),60565263
Belvedere on the Pfingstberg,Point(13.059 52.4187),454078
Beni Hammad Fort,Point(4.793333333 35.813888888),500367
Bergpark Wilhelmshöhe,Point(9.4 51.3167),447441
Berks Cemetery Extension,Point(2.882 50.738055555),2686894
Berlin Modernism Housing Estates,Point(13.45 52.448333),19094
Bhimbetka rock shelters,Point(77.61438056 22.93863333),331603
Białowieża Forest,Point(23.95 52.75),192666
"Biblical Tels - Megiddo, Hazor, Beer Sheba",Point(35.18222 32.59722),15477047
"Biblioteca del Congreso de la República ""César Vallejo""",Point(-77.028815288 -12.048066368),119032332
Bikini Atoll,Point(165.4 11.6),152225
Bir Hima Rock Petroglyphs and Inscriptions,Point(44.451839 18.249239),4915544
Bir Hima Rock Petroglyphs and Inscriptions,Point(44.545 18.317),4915544
Birka and Hovgården,Point(17.5425 59.335),2904503
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",Point(35.20669 31.7044),79395074
Blaenavon Industrial Landscape,Point(-3.092222222 51.770277777),23818211
Blenheim Palace,Point(-1.360948307 51.841362665),208181
Blue and John Crow Mountains,Point(-76.571111111 18.0775),24082981
Bois du Puits cemetery,Point(4.36805 49.19371),61744168
Bolgar Historical and Archaeological Complex,Point(49.05639 54.97889),47519282
Bom Jesus do Monte,Point(-8.3775 41.5546),2707216
Borobudur Temple Compounds,Point(110.20361 -7.60778),29070
Bosra,Point(36.483333333 32.516666666),272680
Bourges Cathedral,Point(2.39917 47.08222),207985
Boyana Church,Point(23.266172222 42.644672222),276553
Brasília,Point(-47.882777777 -15.793888888),2844
Brauroneion,Point(23.72538 37.97147),902329
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Point(-32.42511111 -3.857944444),15224654
Brimstone Hill Fortress National Park,Point(-62.836 17.347),200521
Brimstone Hill Fortress National Park,Point(-62.83575 17.34744),200521
Broeira,Point(-7.099573 41.053281),64686787
Bryggen,Point(5.323333333 60.3975),153430
Brú na Bóinne,Point(-6.44932 53.69284),339489
Buda Castle,Point(19.039722222 47.496111111),46313
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Point(19.07067 47.48242),851122
Buddhist Monuments in the Hōryū-ji Area,Point(135.734236 34.614275),1333799
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,Point(71.94583333 34.32083333),15240737
Budj Bim,Point(141.917 -38.0667),260465
Buffs Road Cemetery,Point(2.916556 50.876361),4985980
Buildings and architecture of Bath,Point(-2.35 51.3667),4986623
Burgess Shale,Point(-116.467 51.4333),852085
Burgos Cathedral,Point(-3.704472222 42.340805555),744420
Burkhan Khaldun,Point(109.166666666 48.783333333),1010335
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,Point(29.06234 40.18473),60846866
Butrint,Point(20.020534 39.746067),188694
Buttes New British Cemetery,Point(2.99141 50.8556),18110823
Bwindi Impenetrable National Park,Point(29.71666667 -1.05),500397
Byblos,Point(35.65 34.116666666),173532
Béguinages in Flanders,Point(4.47375 51.030972222),265453
Cadeia da Relação,Point(-8.615831 41.144626),9672205
Cahokia,Point(-90.064444444 38.653888888),333661
Calakmul,Point(-89.810555555 18.105),272771
Calle Almudena,Point(-71.986915 -13.524036),83305327
Calle Espaderos,Point(-71.979837 -13.516666),83278682
Calle Hospital,Point(-71.98513 -13.521534),83372593
Calle Plateros,Point(-71.980184 -13.515951),70114795
Calle San Pedro,Point(-71.983883 -13.520767),83372379
Calle Saphy,Point(-71.981646 -13.514446),70028510
Calle Triunfo,Point(-71.977183 -13.516455),83305418
Calle del Medio,Point(-71.979481 -13.517021),77257638
Cambrai East Military Cemetery,Point(3.262198 50.179304),2289403
Cambrai German military cemetery,Point(3.26208 50.17831),55596340
Cambrai Memorial to the Missing,Point(3.015277777 50.136666666),1854219
"Campus de Alcalá de Henares, University of Alcalá",Point(-3.363085438 40.482902981),127413732
Canada do Inferno / Rego da vide,Point(-7.108769 41.073444),64686788
Canadian Cemetery No. 2,Point(2.764133 50.377291),1874283
Canadian National Vimy Memorial,Point(2.773611111 50.379444444),2561040
Canadian Rocky Mountain Parks World Heritage Site,Point(-116.479722222 51.424722222),72895
Canaima National Park,Point(-62.8509271 6.238514),1244337
Canal du Midi,Point(1.41833333 43.61111111),202494
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",Point(1.083333333 51.28),15924897
Cape Floristic Kingdom,Point(18.375 -34.166667),1974274
Cape Floristic Kingdom,Point(18.375 -34.166666666),1974274
Capela de Nossa Senhora da Guia,Point(113.54969 22.19659),6730067
Capilla de Loreto,Point(-71.978004 -13.517361),78095797
Capital Cities and Tombs of the Ancient Koguryo Kingdom,Point(126.18722222 41.15694444),134873
Caral,Point(-77.520277777 -10.893611111),219279
Carlsbad Caverns National Park,Point(-104.443888888 32.175277777),273195
Carrefour Duchesne National Cemetery,Point(7.107638888 48.14875),20973865
Casa Cabrera,Point(-71.97744 -13.514936),82788330
Casa Calderón Ugarte,Point(-71.97946 -13.515711),89421507
Casa Concha,Point(-71.97688 -13.517326),42833930
Casa Corazao,Point(-71.976557 -13.519316),89419725
Casa Garden,Point(113.54 22.2003),4570262
Casa Guevara,Point(-71.984369 -13.515224),90829149
Casa Gutiérrez Guerrero,Point(-71.981634 -13.51749),89361328
Casa Lercaros,Point(-71.979968 -13.516822),89361432
Casa Meloc 422,Point(-71.983093 -13.516377),89362235
Casa Ochoa Escalante,Point(-71.981785 -13.514113),88965386
Casa Venero,Point(-71.982688 -13.517143),88965868
Casa Yabar Peralta,Point(-71.976513 -13.51937),89364888
Casa de Carmen Alto 166,Point(-71.975261 -13.514433),88966611
Casa de Carmen Alto 236,Point(-71.97575 -13.514006),89294896
Casa de Choquechaca 366-384,Point(-71.977068 -13.513513),89361245
Casa de Oblitas,Point(-71.982943 -13.516826),88965299
Casa de Rozas Velasco,Point(-71.979055 -13.519215),90827916
