siteLabel,coordinate,siteID
Delville Wood Cemetery,Point(2.81277 50.0239),2618490
Delville Wood South African National Memorial,Point(2.812678 50.024482),2374137
Dengfeng,Point(113.04242 34.41609),877609
Dengfeng,Point(113.02803 34.46031),877609
Derbent,Point(48.288888888 42.057777777),131416
Derbent Fortress,Point(48.274969 42.052651),4158660
Derbent Lighthouse,Point(48.29601 42.06134),24937319
Derbent Mosque,Point(48.279722222 42.055277777),4116323
Derbent Wall,Point(48.258756 42.044013),4158661
Derwent Valley Mills,Point(-1.556 53.108),646076
Descent of the Ganges,Point(80.19166667 12.61666667),1753664
Desembarco del Granma National Park,Point(-77.633333 19.883333),909755
Dessau,Point(12.246111111 51.834166666),487070
Dessau-Wörlitz Garden Realm,Point(12.2814 51.8636),157543
Dholavira,Point(70.21666667 23.88611111),9468
Dilmun Burial Mounds,Point(50.51277778 26.14972222),5276996
Dinosaur Provincial Park,Point(-111.485 50.7617),289466
Discovery Coast Atlantic Forest Reserves,Point(-39.25 -16.5),2487302
Discovery Coast Atlantic Forest Reserves,Point(-39.06376 -16.44243),2487302
Divriği Great Mosque and Hospital,Point(38.121583333 39.371222222),581641
Diyarbakır Fortress,Point(40.227277777 37.910861111),20474885
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Point(40.227277777 37.910861111),20963673
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Point(40.23930833 37.9031),20963673
Dja Faunal Reserve,Point(12.9833 3.0167),843147
Djemila,Point(5.73667 36.32056),457362
Djerba,Point(10.8833 33.7837),188938
Djoudj National Bird Sanctuary,Point(-16.2 16.45),733676
Dom Pedro V Theatre,Point(113.53816 22.19195),3182054
Dome of the Rock,Point(35.235277777 31.778055555),172077
Dong Phayayen-Khao Yai Forest Complex,Point(102.05 14.33),16963852
Dormans Memorial Chapel,Point(3.6465 49.0714),3333153
Douaumont ossuary,Point(5.423671 49.20826),705054
Dougga,Point(9.22027778 36.42333333),32378
Doñana National and Natural Park,Point(-6.44 37.02),463141
Drottningholm Palace,Point(17.886383 59.321694),208559
Drottningholm Palace Theatre,Point(17.885 59.32306667),3058143
Du Plateau Cemetery,Point(5.48083 49.73861),2705043
Duchess Anna Amalia Library,Point(11.332222222 50.978611111),50711
Dud Corner Cemetery,Point(2.771216 50.460067),2170407
Durham Castle and Cathedral,Point(-1.576111111 54.77472222),15732525
Durmitor National Park,Point(19.017 43.133),3364446
Dutch Water Defence Lines,Point(5.168330555 52.058611111),64590253
Dutch Water Defence Lines,Point(4.89306 52.37444),64590253
EDIN-317-T Workshop building,Point(-70.383416666 -34.085277777),103991986
EDIN-360-S Milling plant building,Point(-70.380277777 -34.084527777),102333772
EDNI-020-P Teniente Club,Point(-70.382361111 -34.083472222),101667705
EDNI-035-P Workers families residential building,Point(-70.38125 -34.084444444),102250259
EDNI-037-S Workers residential building,Point(-70.381111111 -34.084722222),102250058
EDNI-042-P Residential building,Point(-70.381666666 -34.08475),102221250
EDNI-101-P Payroll office building,Point(-70.382666666 -34.084583333),102423617
EDNI-102-P Engineers office building,Point(-70.382416666 -34.084555555),102318293
EDNI-103-P Staff house building,Point(-70.381944444 -34.084944444),102220257
EDNI-105-P Communal institutions building,Point(-70.3825 -34.085),102426732
EDNI-106-P Public institutions building,Point(-70.382777777 -34.085),102547773
EDNI-107-P Residential building,Point(-70.382861111 -34.084666666),102570727
EDNI-108-P Residential building,Point(-70.383055555 -34.084305555),102403211
EDNI-118-K: Administrative staff residential building,Point(-70.383194444 -34.084666666),102568534
EDNI-125-K Commercial and residential building,Point(-70.382916666 -34.085138888),104056953
EDNI-129-K Educational building,Point(-70.383027777 -34.085361111),103920762
EDNI-150 Singles residential building,Point(-70.381666666 -34.0845),102180829
EDNI-152-K Family residential building,Point(-70.384166666 -34.084444444),101684208
EDNI-157-P Grand Hospital,Point(-70.382777777 -34.084166666),102181050
EDNI-165-P Movie theater building,Point(-70.382222222 -34.084972222),104099708
EDNI-231-P Church building,Point(-70.3825 -34.085361111),103815020
EDNI-501-K Concrete residential building,Point(-70.382166666 -34.08425),102186675
"ESMA Museum and Site of Memory – Former Clandestine Center of Detention, Torture and Extermination",Point(-58.465475 -34.536627777),28663704
Early Christian Monuments of Ravenna,Point(12.19625 44.42041667),16886821
Early Christian Necropolis of Pécs,Point(18.227777777 46.074444444),927535
East Rennell,Point(160.333327777 -11.683327777),852433
Eastern & Oriental Hotel,Point(100.33591 5.4233),5329938
Ecbatana,Point(48.516247 34.8065),696193
Ecosystem and Relict Cultural Landscape of Lopé-Okanda,Point(11.5 -0.5),14223008
Effry National Military Cemetery,Point(3.981429 49.924055),20971295
Eise Eisinga Planetarium,Point(5.543611 53.187222),601223
Eise Eisinga Planetarium,Point(5.543752777 53.187375),601223
El Camino Real de Tierra Adentro,Point(-102.379166666 22.608055555),911953
El Fuerte de Samaipata,Point(-63.818988888 -18.178355555),876451
El Pinacate y Gran Desierto de Altar Biosphere Reserve,Point(-113.91666667 32.0),3821829
El Templete (Havana),Point(-82.34903333 23.14049444),8773463
Elephanta Caves,Point(72.931388888 18.963333333),649384
Ellora Caves,Point(75.179166666 20.026388888),189616
Els Munts,Point(1.388055555 41.139166666),120108214
Engelhardt Observatory,Point(48.8125 55.839722),4071797
Engelsberg Ironworks,Point(16.010277777 59.969166666),936884
Ennedi Plateau,Point(23.0 17.0),1343339
Ennedi Plateau,Point(22.0 17.25),1343339
Ephesus,Point(27.35944 37.92917),64699469
Episcopal City of Albi,Point(2.1425 43.9283),1778266
Erechtheion,Point(23.726527777 37.972083333),242741
Ernst Ludwig House,Point(8.668261498 49.876400474),115181308
Ernst-August-Stollen,Point(10.1911 51.7958),1357004
Essex Farm Cemetery,Point(2.87325 50.87072),2226435
Etruscan Necropolises of Cerveteri and Tarquinia,Point(12.10188889 42.00683333),15602246
Euphrasian Basilica,Point(13.593611111 45.228611111),645105
Evaporitic Karst and Caves of Northern Apennines,Point(10.388916666 44.379944444),122730699
Everglades National Park,Point(-80.6875 25.3125),274131
Fagus Factory,Point(9.81256 51.9837),685476
Faia,Point(-7.0853 40.9339),64686789
Faia - Vale Afonsinho,Point(-7.084323 40.934736),64686790
Falun Mine,Point(15.630833333 60.604722222),636194
Falun Mine,Point(15.615683 60.6004),15107508
Fanjingshan,Point(108.766666666 27.883333333),24434043
Fasil Ghebbi,Point(37.469722222 12.608055555),464695
Fatehpur Sikri,Point(77.661111111 27.091111111),179046
Faubourg d'Amiens Cemetery,Point(2.76057 50.2867),2353463
Faubourg-Pavé National Cemetery,Point(5.404888 49.165725),20973918
Ferapontov Monastery,Point(38.5675 59.956388888),838256
"Ferrara, City of the Renaissance, and its Po Delta",Point(11.61944444 44.83777778),16735627
Fertö / Neusiedlersee Cultural Landscape,Point(16.73472222 47.80055556),2925869
"First DCLI Cemetery, The Bluff",Point(2.913 50.820972),2927858
Fleury-devant-Douaumont National Cemetery,Point(5.424454807 49.20689555),56718530
Flow Country,Point(-3.65845 58.3715),1847928
Fonte Frieira,Point(-7.099338 41.068316),64686791
Foreign Legion National Cemetery,Point(4.565684 49.196505),21570192
Fort Berkeley,Point(-61.763333333 17.004444444),123376524
Fort Charlotte,Point(-61.7606 17.0001),123577871
Fort Douaumont,Point(5.438889 49.216667),186536
Fort James,Point(-0.2111 5.5337),5471403
Fort Jesus Museum,Point(39.682055555 -4.071166666),379080
Fort Jesus Museum,Point(39.679636111 -4.062736111),379080
Fort and Shalamar Gardens in Lahore,Point(74.30972222 31.59027778),155727
Fort de Loncin,Point(5.49194 50.67472),1363576
Fortaleza do Monte,Point(113.54242222 22.19711111),838085
Forth Bridge,Point(-3.3876 55.9984),275
Fortifications of Vauban,Point(2.75888889 50.2825),833781
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,Point(-79.655833333 9.553888888),3320082
Fortkerk,Point(-68.934438888 12.104461111),113501274
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",Point(-1.241 5.103694444),778743
Fosse n° 5 des mines de Meurchin,Point(2.85055 50.5095),15617061
Fountains Abbey,Point(-1.58139 54.1097),540237
Franciscan Missions in the Sierra Gorda,Point(-99.463888888 21.203888888),751146
Fray Bentos Industrial Landscape,Point(-58.331667 -33.117778),29905581
French Southern and Antarctic Lands nature reserve,Point(69.5811 -49.1397),3457508
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",Point(5.876388889 46.9375),15726441
Fromelles (Pheasant Wood) Military Cemetery,Point(2.851058 50.607772),1469828
Frontiers of the Roman Empire – The Danube Limes (Western Segment),Point(16.861 48.115),108017566
Fujian Tulou,Point(116.975 24.6587),718001
"Fujisan, sacred place and source of artistic inspiration",Point(138.7275 35.3608),16482294
Galle,Point(80.215555555 6.032777777),319366
Galápagos Islands,Point(-90.361243 -0.622977),117188122
Gammelstad Church Town,Point(22.02861 65.64611),1756286
Gamzigrad,Point(22.186166666 43.899305555),904128
Garagnin-Fanfogna Palace,Point(16.2506656 43.5173297),97352832
Garajonay National Park,Point(-17.23722222 28.12625),464942
Garamba National Park,Point(29.25 4.0),308893
Garamba National Park,Point(29.48093 4.19559),308893
Garcilaso de la Vega's House,Point(-71.980313 -13.517553),69402419
Gardens by Burle Marx,Point(-47.905869353 -15.815326741),97626864
Gardens of Drottningholm Palace,Point(17.879444444 59.320277777),28495970
Gardens of Versailles,Point(2.108333333 48.808055555),3162464
Garrison Border Town of Elvas and its Fortifications,Point(-7.16333333 38.88055556),5524023
Garrison Historic Area,Point(-59.61388889 13.09666667),629210
Gaya Tumuli,Point(128.873725 35.237263888),66201394
Gebel Barkal and the Sites of the Napatan Region,Point(31.816666666 18.533333333),15278408
Genoa: Le Strade Nuove and the system of the Palazzi dei Rolli,Point(8.931111111 44.412222222),10293286
George Town UNESCO World Heritage Site,Point(100.338735 5.416518),131465681
Gerbéviller Cemetery of Civilian Victims,Point(6.5075 48.504166666),122819132
German Monument in Saint-Charles Cemetery,Point(4.94208 49.71167),56599715
German section of the Chestres  military cemetery,Point(4.727118 49.397205),59616773
Germania Military Cemetery,Point(7.059401739 48.038966176),122808695
"Getbol, Korean Tidal Flats",Point(126.104444444 34.828822222),107715736
Giant's Causeway,Point(-6.511666666 55.240833333),106187
Givenchy Road Canadian Cemetery,Point(2.76472 50.37583),2331354
Glarus thrust,Point(9.25 46.91667),312118
Glienicke Palace,Point(13.0953 52.4142),301684
Goat Tower,Point(40.2368384 37.905554),87910977
Gobustan National Park,Point(49.38888889 40.10555556),318181
"Gochang, Hwasun and Ganghwa Dolmen Sites",Point(126.92917 34.96667),495286
Goguryeo tombs,Point(125.415 38.863055555),277525
Golden Mountains of Altai,Point(86.0 50.466666666),155495
Golestan Palace,Point(51.420277777 35.679722222),210610
Gonbad-e Qabus,Point(55.168991133 37.258121354),606763
Gondwana Rainforests of Australia,Point(149.6 -29.6),643063
Gordion,Point(31.9784831 39.6504791),542854
Gorham's Cave complex,Point(-5.341944444 36.1225),60346199
Gorée,Point(-17.398333333 14.666944444),244347
Gough and Inaccessible Islands,Point(-12.68 -37.3),16891784
Grachtengordel,Point(4.885833333 52.366388888),478707
Grand Canal,Point(120.223888888 30.261388888),31347
Grand Canyon National Park,Point(-112.122 36.0553),220289
Grand-Place,Point(4.35253815 50.84670775),215429
Grand-Pré,Point(-64.309167 45.108889),1100749
Grande Tombe de Villeroy (Chauconin-Neufmontiers),Point(2.801648 48.979984),20819675
Great Barrier Reef,Point(145.8 -16.4),7343
Great Himalayan National Park,Point(77.951021 31.804288),1544213
Great Living Chola Temples,Point(79.1325 10.783055555),695229
Great Mosque and Hospital of Divriği,Point(38.1236 39.3736),15727490
Great Smoky Mountains National Park,Point(-83.425 35.611111111),464004
Great Temple,Point(34.615444444 40.019805555),118121340
Great Zimbabwe,Point(30.933 -20.27),209217
Greater Blue Mountains Area,Point(150.0 -33.7),934627
Grimeton VLF transmitter,Point(12.404417 57.113983),920206
Gros Morne National Park,Point(-57.738055555 49.689444444),257598
Group of monuments at Mahabalipuram,Point(80.191666666 12.616666666),3522747
Gruerie Ossuary,Point(4.889912 49.200029),20973920
Grünhirscher Stollen,Point(10.5033417 51.7053739),21707224
Grünhirscher Stollen,Point(10.50334 51.705665),21707224
Grünhirscher Stollen,Point(10.5034777 51.7056612),21707224
Grünhirscher Stollen,Point(10.5045608 51.7063252),21707224
Grünhirscher Stollen,Point(10.5059319 51.7070428),21707224
Guia Lighthouse,Point(113.5497667 22.19651111),3313058
Gulangyu,Point(118.061944444 24.4475),1025339
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",Point(8.628833333 42.32519444),15728421
Gunung Mulu National Park,Point(114.8125 4.0425),61535
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Point(127.683 26.2086),1333330
Gyeongju Historic Areas,Point(129.22666667 35.78888889),495241
Göbekli Tepe,Point(38.9225 37.223055555),214944
Göreme National Park and the Rock Sites of Cappadocia,Point(34.85 38.66667),64705367
Ha Long Bay,Point(107.2 20.9),190128
Hadrian's Villa,Point(12.775278 41.941944),272777
Hadrian's Wall,Point(-2.2925 55.024166666),57357
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks",Point(128.1 35.8),490798
Hagia Sophia,Point(28.98 41.008333333),12506
Hallstatt-Dachstein Salzkammergut cultural landscape,Point(13.6464 47.5594),1033019
Hampi,Point(76.462162 15.334547),26732
Hanseatic City of Lübeck,Point(10.69167 53.86667),15813909
Hanseatic town of Visby,Point(18.29583333 57.64166667),1779992
"Harar Jugol, the Fortified Historic Town",Point(42.1372 9.3091),20053321
Hartmannswillerkopf National Monument,Point(7.150173111 47.858820805),20895234
Hatra,Point(42.718333333 35.588055555),466614
Hattusha: the Hittite Capital,Point(34.62056 40.01389),64699502
Haute-Chevauchée ossuary,Point(4.994083333 49.189138888),55598898
Hautecombe Abbey,Point(5.838056 45.752778),63524
Hawaiʻi Volcanoes National Park,Point(-155.12361 19.40083),205952
Head-Smashed-In Buffalo Jump,Point(-113.625 49.7494),683110
Heard Island and McDonald Islands,Point(73.517 -53.093527777),131198
Heart of Neolithic Orkney,Point(-3.188666666 58.996055555),1334966
Hedge Row Trench Cemetery,Point(2.91377 50.81941),2664077
Hegra,Point(37.9475 26.814166666),27356
Henderson Island,Point(-128.325 -24.375),379759
Heritage district of Yazd,Point(54.369583333 31.900555555),32979655
Heritage of Mercury. Almadén and Idrija,Point(-4.834166666 38.771805555),3370031
Heritage of Mercury. Almadén and Idrija,Point(-4.843611111 38.775277777),3370031
Heritage of Mercury. Almadén and Idrija,Point(-4.839722222 38.7725),3370031
Heritage of Mercury. Almadén and Idrija,Point(-4.831388888 38.772777777),3370031
Heritage of Mercury. Almadén and Idrija,Point(-4.829722222 38.775),3370031
Heritage of Mercury. Almadén and Idrija,Point(13.914 46.003),3370031
Heritage of Mercury. Almadén and Idrija,Point(13.928 45.976),3370031
Heritage of Mercury. Almadén and Idrija,Point(13.947 45.97),3370031
Heritage of Mercury. Almadén and Idrija,Point(13.935 46.017),3370031
Heritage of Mercury. Almadén and Idrija,Point(14.032 45.999),3370031
Heritage of Mercury. Almadén and Idrija,Point(14.026666666 46.003888888),3370031
Heritage of Mercury. Almadén and Idrija,Point(14.031 46.008),3370031
Hevsel Gardens,Point(40.2475 37.9075),19611498
Hidden Christian Sites in the Nagasaki Region,Point(128.903889 32.802222),93643
Hierapolis-Pamukkale,Point(29.123333 37.923889),15924669
High Coast/Kvarken Archipelago,Point(20.45 63.066666666),10532185
Hill Forts of Rajasthan,Point(74.646111 24.883306),10428494
Himeji Castle,Point(134.693611111 34.839444444),188754
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",Point(141.11027778 38.98861111),2896261
Hiroshima Peace Memorial,Point(132.453611111 34.395555555),231140
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Point(-68.934201 12.106141),17240216
Historic Areas of Istanbul,Point(28.97993 41.00847),5773394
Historic Center of Agadez,Point(7.9896 16.9744),47800464
Historic Center of Quito,Point(-78.512083 -0.22),8343766
Historic Centre of Arequipa,Point(-71.533333333 -16.4),8343756
Historic Centre of Avignon,Point(4.806111111 43.95277778),15241016
Historic Centre of Brugge,Point(3.22527 51.20891),5762117
Historic Centre of Bukhara,Point(64.43333333 39.76666667),29015225
Historic Centre of Camagüey,Point(-80.4531 22.1424),65122987
Historic Centre of Cienfuegos,Point(-80.43638889 22.14555556),8343758
Historic Centre of Florence,Point(11.25611111 43.77306),2707802
Historic Centre of Guimarães and Couros Zone,Point(-8.290838 41.445157),2945649
Historic Centre of Lima,Point(-77.04305556 -12.05138889),3320442
Historic Centre of Macau,Point(113.536 22.191),2601433
Historic Centre of Mexico City and Xochimilco,Point(-99.13278 19.41833),15924695
Historic Centre of Morelia,Point(-101.1833333 19.7),3848089
Historic Centre of Naples,Point(14.26278 40.85139),832957
Historic Centre of Oaxaca and Archaeologican de Pepito el crack,Point(-96.72167 17.06194),16743243
Historic Centre of Porto,Point(-8.612974 41.143191),3848157
Historic Centre of Prague,Point(14.41944 50.08972),64637410
Historic Centre of Prague,Point(14.56 50.0),64637410
Historic Centre of Puebla,Point(-98.20833333 19.04722222),3848455
"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",Point(12.4866 41.8928),18448486
Historic Centre of Saint Petersburg and Related Groups of Monuments,Point(30.315555555 59.938888888),616578
Historic Centre of Salvador da Bahia,Point(-38.5 -12.9667),5572706
Historic Centre of San Gimignano,Point(11.042804439 43.467057116),9724840
Historic Centre of Santa Ana de los Ríos de Cuenca,Point(-79.0049 -2.8979),8343759
Historic Centre of Santa Cruz de Mompox,Point(-74.423083888 9.240472222),8343767
Historic Centre of Sheki with the Khan’s Palace,Point(47.170555555 41.191944444),106762537
Historic Centre of Siena,Point(11.33166667 43.31861111),17163322
Historic Centre of Sighișoara,Point(24.79222222 46.21777778),1075681
Historic Centre of São Luís,Point(-44.305795125 -2.52773314),8343768
Historic Centre of Telč,Point(15.45 49.18333),64640311
Historic Centre of Urbino,Point(12.63333 43.725),17163308
Historic Centre of Vienna,Point(16.3722 48.2084),11288310
Historic Centre of the City of Pienza,Point(11.679 43.0766),2945646
Historic Centre of the City of Salzburg,Point(13.0486 47.7997),1621046
Historic Centre of the Town of Diamantina,Point(-43.6 -18.23333333),8343760
Historic Centre of the Town of Goiás,Point(-50.13336 -15.93328),8343761
Historic Centre of the Town of Olinda,Point(-34.845 -8.01333333),8343764
Historic Centre of Český Krumlov,Point(14.316666666 48.816666666),64636277
Historic Centres of Berat and Gjirokastër,Point(20.14083333 40.07416667),3664670
Historic Centres of Berat and Gjirokastër,Point(19.93825 40.707916666),3664670
Historic Centres of Stralsund and Wismar,Point(13.08527778 54.3025),1620833
Historic City of Ahmadabad,Point(72.5875 23.0256),5472448
Historic City of Ayutthaya,Point(100.560555555 14.347777777),111905239
Historic City of Sucre,Point(-65.2604774 -19.0484359),16522830
Historic City of Toledo,Point(-4.024613 39.856901),17255635
Historic City of Trogir,Point(16.25167 43.5125),17132483
Historic Fortified Town of Campeche,Point(-90.54166667 19.84722222),5762131
Historic Inner City of Paramaribo,Point(-55.15387 5.826),2147036
Historic Monuments Zone of Querétaro,Point(-100.3666667 20.58333333),3848141
Historic Monuments and Sites in Kaesong,Point(126.508055555 37.981666666),15726137
Historic Monuments of Ancient Kyoto,Point(135.752778 35.060278),874027
Historic Monuments of Ancient Nara,Point(135.83944 34.67556),1055749
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,Point(113.0677194 34.45874722),15623656
Historic Monuments of Novgorod and Surroundings,Point(31.28555556 58.51833333),1218832
Historic Quarter of the City of Colonia del Sacramento,Point(-57.851234 -34.471543),9643691
Historic Quarter of the Seaport City of Valparaíso,Point(-71.628 -33.04063889),16333721
Historic Sanctuary of Machu Picchu,Point(-72.58333333 -13.11666667),3331815
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,Point(18.9 48.46111),16912647
Historic Town of Guanajuato and Adjacent Mines,Point(-101.256666666 21.017777777),110672551
Historic Town of Ouro Preto,Point(-43.51 -20.37083),3845692
Historic Town of Sukhothai and Associated Historic Towns,Point(99.70361111 17.02111111),865097
Historic Villages of Korea: Hahoe and Yangdong,Point(128.5166667 36.53916667),3113345
Historic Villages of Shirakawa-gō and Gokayama,Point(136.90638889 36.25694444),877626
Historic Walled Town of Cuenca,Point(-2.13175 40.0766),15965460
Historic centre of Cusco,Point(-71.978056 -13.518333),28502997
Historic centre of Córdoba,Point(-4.779722222 37.879194444),10749904
Historic centre of Zacatecas,Point(-102.55 22.76666667),3848116
Historic town of Grand-Bassam,Point(-3.7368 5.1965),107482578
Historical Complex of Split with the Palace of Diocletian,Point(16.438888888 43.508333333),17132416
"Historical Monuments at Makli, Thatta",Point(67.898611111 24.756388888),10332177
Historical Monuments of Mtskheta,Point(44.71639 41.84389),16946829
Historical center of Paraty,Point(-44.713055 -23.218019),56641300
"Hjemmeluft, Bergbukten 1",Point(23.177887 69.948933),82685468
"Hjemmeluft, Bergbukten 2",Point(23.178323943 69.949083334),130443391
"Hjemmeluft, Bergbukten 4B",Point(23.177546 69.949131),130441949
"Hjemmeluft, Ole Pedersen 11A",Point(23.194039552 69.951575702),130443224
Hoh Xil,Point(91.0 35.15),1790760
Hohrod German war cemetery,Point(7.144055555 48.079027777),59297166
Hoi An Ancient Town,Point(108.328631 15.877135),5965459
Holašovice,Point(14.266666666 48.966666666),826452
Hollókő,Point(19.591666666 47.996111111),622865
Holy Trinity Column in Olomouc,Point(17.250492 49.59402),742362
Honghe Hani Rice Terraces,Point(102.7377 23.117187),11605230
Hopewell Ceremonial Earthworks,Point(-82.446061111 40.053658333),10525989
Horezu monastery,Point(24.0069 45.1686),733069
Hortobágy National Park,Point(21.15678 47.59458),61757
Hospicio Cabañas,Point(-103.337333333 20.676897222),28416
Hospital Antonio Lorena,Point(-71.980927 -13.526968),81668984
Hospital de la Almudena,Point(-71.987944 -13.526942),69710930
House of Illán Suárez de Carbajal,Point(-71.980025 -13.516733),67525997
Houthulst military cemetery,Point(2.94833 50.96667),2265764
Huanglong,Point(103.831077 32.740756),4107
Huangshan,Point(118.166667 30.125),36034
Huascarán National Park,Point(-77.43 -9.45),917369
Hubei Shennongjia,Point(110.19 31.29),3457361
Hubei Shennongjia,Point(110.243888888 31.469722222),3457361
Hubei Shennongjia,Point(110.333 31.5),3457361
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(18.527155555 -33.943927777),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(26.848672222 -32.786783333),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.389877777 -32.875652777),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.61725 -31.783077777),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(26.2167 -29.1167),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.871538888 -26.686947222),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.887838888 -26.272736111),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.909177777 -26.238541666),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.909469444 -26.234952777),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(27.976083333 -26.175272222),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.043344444 -26.189819444),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.0585 -26.148777777),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.053616666 -26.043536111),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(30.38 -29.62),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(30.23 -29.47),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(31.145908333 -29.181366666),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.18925 -25.766611111),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.187536111 -25.744597222),65936861
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",Point(28.211880555 -25.740661111),65936861
Humayun's Tomb,Point(77.250602 28.593264),189648
Humberstone and Santa Laura Saltpeter Works,Point(-69.794444444 -20.208333333),572895
Humble Administrator's Garden,Point(120.624444444 31.325833333),1076650
Hunter's Cemetery,Point(2.649722222 50.078055555),5944106
Hwaseong Fortress,Point(127.010202777 37.280733333),482423
Hyde Park Corner (Royal Berks) Cemetery,Point(2.88264 50.7375),2326014
Hypogeum of Ħal Saflieni,Point(14.506883333 35.869558333),755514
Hyrcanian Forests,Point(55.7243 37.4215),66057913
Hội An,Point(108.33265 15.877669444),36160
Iate Tênis Clube,Point(-43.978992 -19.848365),29470059
"Ibiza, Biodiversity and Culture",Point(1.435194444 38.91113889),11918155
Ichkeul National Park,Point(9.6667 37.1667),13220079
Iglesia de San Cristobal,Point(-71.980109 -13.513359),70759876
Iglesia de Santa Ana,Point(-71.985784 -13.51473),88477839
Iglesia de Santa María,Point(-1.40053 41.3385),5911720
Iglesia de la Recoleta,Point(-71.965414 -13.516313),83389656
Iglesia parroquial de San Pablo,Point(-0.886111111 41.656083333),2470882
Igreja da Sé,Point(113.54166667 22.19361111),1106554
Iguazú National Park World Heritage Site,Point(-54.4 -25.666666666),57072712
Iguaçu National Park,Point(-54.43333333 -25.68333333),742315
Iguaçu National Park,Point(-53.8 -25.5),742315
Ilulissat Icefjord,Point(-50.3 69.169),828071
Imperial Citadel of Thang Long,Point(105.83972 21.0325),206219
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,Point(123.446944444 41.794166666),4920250
Imperial Tombs of the Ming and Qing Dynasties,Point(112.65 31.01666667),817164
Inca road system,Point(-69.59166667 -18.25),948975
Incense Route – Desert Cities in the Negev,Point(34.657777777 31.0975),477578
Independence Hall,Point(-75.15 39.948888888),390028
Ir.D.F. Woudagemaal,Point(5.678888888 52.845833333),1121835
Ironbridge Gorge,Point(-2.472777777 52.626388888),647958
Ischigualasto / Talampaya Natural Parks,Point(-67.833333 -29.8),17132555
Islamic Cairo,Point(31.2627 30.046),1100964
Island of Ireland Peace Park,Point(2.89475833 50.7598),6083563
Island of Mozambique,Point(40.732777777 -15.036666666),331099
Island of Saint-Louis,Point(-16.504438888 16.027780555),1114640
Islands and Protected Areas of the Gulf of California,Point(-111.672778 27.753056),2383410
Italian Military Cemetery of Bligny,Point(3.84087 49.1884),2972661
Itchan Kala,Point(60.359476 41.377718),535577
Itsukushima Shrine,Point(132.319722222 34.295833333),191763
Ivindo National Park,Point(12.63 0.088),9055979
"Ivrea, industrial city of the 20th century",Point(7.8692 45.4575),109123298
Iwami Ginzan Silver Mine,Point(132.4375 35.107222),174139
Iwan-e Mosaic,Point(51.5764556 29.7800445),5680019
Jaipur,Point(75.866666666 26.916666666),66485
Jameh Mosque of Isfahan,Point(51.685277777 32.669722222),1256501
Jantar Mantar,Point(75.825 26.924722222),508634
Jantar Mantar,Point(77.21647778 28.62710833),2045115
Jeju Volcanic Island and Lava Tubes,Point(126.5325 33.36138889),495733
Jelling Heritage Site,Point(9.419743429 55.75651427),4993586
Jerónimos Monastery,Point(-9.205601 38.697846),272781
Jesuit Block and Estancias of Córdoba,Point(-64.435277777 -31.656111111),837642
